Code,FAA Aircraft Type,EDMS Aircraft Code,Engine Manufacturer,Engine,EDMS ID,SCC,SCC Description,Map To,Last Inventory Year,Last updated on
200001,Robinson R22,4964,,O-320 ,1594,2275050011,"General Aviation, Piston",,,7/31/2018
200002,Bell AH-1J Cobra,4883,,T400-CP-400 ,1675,2275001000,"Military Aircraft, Total",,,7/18/2018
200003,Bell UH-1 Iroquois,4934,,T400-CP-400 ,1675,2275001000,"Military Aircraft, Total",,,7/18/2018
200004,Bell AH-1S Cobra,4884,,T53-L-11D ,1676,2275001000,"Military Aircraft, Total",,,7/18/2018
200005,Bell AH-1S Cobra,4884,,T53-L-13 ,1677,2275001000,"Military Aircraft, Total",,,7/18/2018
200006,Boeing CH-46 Sea Knight,4891,,T58-GE-16 ,1685,2275001000,"Military Aircraft, Total",,,7/18/2018
200007,Sikorsky SH-3 Sea King,4927,,T58-GE-5 ,1686,2275001000,"Military Aircraft, Total",,,7/18/2018
200008,Boeing CH-46 Sea Knight,4891,,T58-GE-8F ,1687,2275001000,"Military Aircraft, Total",,,7/18/2018
200009,Kaman SH-2 Seasprite,4926,,T58-GE-8F ,1687,2275001000,"Military Aircraft, Total",,,7/18/2018
200010,Sikorsky SH-3 Sea King,4927,,T58-GE-8F ,1687,2275001000,"Military Aircraft, Total",,,7/18/2018
200011,Hughes OH-6 Cayuse,4920,,T63-A-5A ,1688,2275001000,"Military Aircraft, Total",,,7/18/2018
200012,Sikorsky CH-53 Sea Stallion,4899,,T64-GE-100 ,1689,2275001000,"Military Aircraft, Total",,,7/18/2018
200013,Sikorsky CH-53E Super Stallion,4900,,T64-GE-100 ,1689,2275001000,"Military Aircraft, Total",,,7/18/2018
200014,Sikorsky CH-53 Sea Stallion,4899,,T64-GE-413 ,1690,2275001000,"Military Aircraft, Total",,,7/18/2018
200015,Sikorsky CH-53 Sea Stallion,4899,,T64-GE-415 ,1691,2275001000,"Military Aircraft, Total",,,7/18/2018
200016,Sikorsky CH-53E Super Stallion,4900,,T64-GE-416 ,1692,2275001000,"Military Aircraft, Total",,,7/18/2018
200017,Sikorsky CH-53 Sea Stallion,4899,,T64-GE-6B ,1693,2275001000,"Military Aircraft, Total",,,7/18/2018
200018,Bell AH-1W SuperCobra,4885,,T700-GE-401 -401C ,1694,2275001000,"Military Aircraft, Total",,,7/18/2018
200019,Kaman SH-2 Seasprite,4926,,T700-GE-401 -401C ,1694,2275001000,"Military Aircraft, Total",,,7/18/2018
200020,Sikorsky SH-60 Sea Hawk,4928,,T700-GE-401 -401C ,1694,2275001000,"Military Aircraft, Total",,,7/18/2018
200021,Sikorsky UH-60 Black Hawk,4935,,T700-GE-700 ,1695,2275001000,"Military Aircraft, Total",,,7/18/2018
200022,Sikorsky S-76 Spirit,4970,,T700-GE-700 ,1695,2275060012,"Air Taxi, Turbine",,,7/18/2018
200023,Robinson R22,4964,,TSIO-360C ,1745,2275050011,"General Aviation, Piston",,,7/31/2018
200024,Robinson R22,4964,,IO-320-D1AD ,1566,2275050011,"General Aviation, Piston",,,7/31/2018
200025,Robinson R22,4964,,IO-360-B ,1567,2275050011,"General Aviation, Piston",,,7/31/2018
200026,Bell 206 JetRanger,4644,,250B17B ,1339,2275001000,"Military Aircraft, Total",,,7/31/2018
200027,Hughes OH-6 Cayuse,4920,,250B17B ,1339,2275001000,"Military Aircraft, Total",,,7/18/2018
200028,Agusta A-109,4523,,250B17B ,1339,2275060012,"Air Taxi, Turbine",,,7/31/2018
200029,Boelkow BO-105,4647,,250B17B ,1339,2275050012,"General Aviation, Turbine",,,7/18/2018
200030,Hughes 500D,4809,,250B17B ,1339,2275060012,"Air Taxi, Turbine",,,7/31/2018
200031,Raytheon Beech 1900-C,4633,P & W Canada,PT6A-67B ,1612,2275050012,"General Aviation, Turbine",,,7/31/2018
200032,Raytheon Beech 1900-C,4633,P & W Canada,PT6A-67D ,1613,2275050012,"General Aviation, Turbine",,,7/31/2018
200033,Raytheon Beech 1900-D,4634,P & W Canada,PT6A-67D ,1613,2275050012,"General Aviation, Turbine",,,7/31/2018
200034,BAE Jetstream 1,4842,P & W Canada,PT6A-60 ,1630,2275050012,"General Aviation, Turbine",,,7/31/2018
200035,BAE Jetstream 200 Series,4843,P & W Canada,PT6A-60 ,1630,2275050012,"General Aviation, Turbine",,,7/31/2018
200036,Raytheon Beech 1900-C,4633,P & W Canada,PT6A-65B ,1638,2275050012,"General Aviation, Turbine",,,7/31/2018
200037,BAE Jetstream 31,4836,Allied Signal,TPE331-10GT ,1716,2275050012,"General Aviation, Turbine",,,7/31/2018
200038,BAE Jetstream 31,4836,Allied Signal,TPE331-10UA ,1717,2275050012,"General Aviation, Turbine",,,7/31/2018
200039,BAE Jetstream 31,4836,Allied Signal,TPE331-10UK ,1719,2275050012,"General Aviation, Turbine",,,7/31/2018
200040,BAE Jetstream 32,4837,Allied Signal,TPE331-12UA ,1720,2275050012,"General Aviation, Turbine",,,7/31/2018
200041,BAE Jetstream 32-EP,4838,Allied Signal,TPE331-12UA ,1720,2275050012,"General Aviation, Turbine",,,7/31/2018
200042,BAE Jetstream 41,4839,Allied Signal,TPE331-14GR ,1721,2275050012,"General Aviation, Turbine",,,7/31/2018
200043,BAE Jetstream 31,4836,Allied Signal,TPE331-10UG ,1718,2275050012,"General Aviation, Turbine",,,7/31/2018
200044,BAE Jetstream 31,4836,,TPE331-10 ,1726,2275050012,"General Aviation, Turbine",,,7/31/2018
200045,BAE Jetstream 31,4836,Allied Signal,TPE331-10A ,1727,2275050012,"General Aviation, Turbine",,,7/31/2018
200046,BAE Jetstream 31,4836,Allied Signal,TPE331-10G ,1728,2275050012,"General Aviation, Turbine",,,7/31/2018
200047,BAE Jetstream 31,4836,Allied Signal,TPE331-10N ,1729,2275050012,"General Aviation, Turbine",,,7/31/2018
200048,BAE Jetstream 31,4836,Allied Signal,TPE331-10U ,1731,2275050012,"General Aviation, Turbine",,,7/31/2018
200049,BAE Jetstream 41,4839,,TPE331-14 ,1735,2275050012,"General Aviation, Turbine",,,7/31/2018
200050,BAE Jetstream 32,4837,,TPE331-12 ,1733,2275050012,"General Aviation, Turbine",,,7/31/2018
200051,BAE Jetstream 32-EP,4838,,TPE331-12 ,1733,2275050012,"General Aviation, Turbine",,,7/31/2018
200052,Boeing 707-300 Series,4582,,TF33-P-100 ,1703,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200053,Boeing 707-100 Series,4581,,TF33-P3/5/7 ,1706,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200054,Boeing 707-300 Series,4582,,TF33-P3/5/7 ,1706,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200055,Boeing 707-100 Series,4581,Pratt & Whitney,JT3D-3B,1258,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200056,Boeing 707-100 Series,4581,Pratt & Whitney,JT3D-7 series,1259,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200059,Boeing 707-300 Series,4582,Pratt & Whitney,JT3D-7 series,1259,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200060,Boeing 707-300 Series,4582,Pratt & Whitney,JT3D-3B,1258,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200061,Boeing 707-300 Series,4582,CFMI,CFM56-2A series,1206,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200062,Boeing 707-300 Series,4582,CFMI,CFM56-2B-1,1207,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200063,Ilyushin 62 Classic,4832,KKBM,NK-8-2U,1253,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
200064,Ilyushin 62 Classic,4832,KKBM,NK-8-2U,1254,2275020000,"Commercial Aircraft, Total: All Types",,,7/18/2018
